"#","Name","Atoll","Island","Rooms","Beds","Phone","Fax","Email","Resort Phone","Resort Fax","Resort Email","Operator","Owner/Lesse","Management","State"
"1","Aanugandu Island Resort","Kaafu","Aanugan'du Finolhu and Aanugan'du Huraa","384","768","3339992","","shrikant@atmospherehotelsandresorts.com","4000022","4000022","info@ailafushi@colorsofoblu.com","Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"2","Adaaran Club Rannalhi","Kaafu","Rannalhi","122","244","3323323","3315238","info@adaaran.com","6642688","6642688","reservations@adaaran.com.mv","Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives","Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
"3","Adaaran Prestige Vadoo","Kaafu","Vaadhoo","50","100","3323323 / 3315238","3315237","mahdy@aitkenspence.lk / info@adaaran.com","6643976","6643976","reservations@adaaran.com.mv","Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives","Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives","-","Operating"
"4","Adaaran Select Hudhuranfushi","Kaafu","Lhohifushi","202","404","3323323
3315238","3315237","info@adaaran.com","6641930","6641930","reservations@adaaran.com.mv","A.D.S Resorts Pvt. Ltd.
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Altaf Enterprises Pvt. Ltd. 
H. No.8, Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives","-","Operating"
"5","Adaaran Select Meedhupparu","Raa","Meedhupparu","238","476","332 3323
331 5238","331 5237","gm@aitkenspence.com.mv","6640375","6640375","res.mir@adaaran.com.mv","Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","-","Operating"
"6","Alila Kothaifaru Maldives","Raa","Kothaifaru and Kuroshigiri","86","172","3005515","","masoodh@momentum.com.mv","7783767 / 6591234","7783767 / 6591234","kothaifaru@alilahotels.com","Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Hyatt International South West Asia Limited 
G. Sosanee
Male', Republic of Maldives","Operating"
"7","Alimatha Aquatic Resort","Vaavu","Alimatha","156","312","3323214","3322516","office@maleoffice.com.mv 
manager@maleoffice.com.mv","67005753323524","","alimatha@dhivehinetnet.mv","L.A Resorts Pvt Ltd 
M.Opera Building
Chaandhanee Magu
Male', Republic of Maldives","Safari Tours Pvt. Ltd 
Opera Building, Chaandhanee Magu
Male', Republic of Maldives
safari@dhivehinet.net.mv","","Operating"
"8","Ananea Madivaru Maldives","Alifu Alifu","Etheremadivaru","137","274","3330617","-","info@ananeamadivaru.com

website: www.ananeamadivaru.com","","","","Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives","Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives","-","Operating"
"9","Anantara Kihavah Villas","Baa","Kihavah Huravalhi","89","178","0060(87)453-288","0060(87)451-288","dkoegerl@anantara.com","6644111","6644111","mailto:kihavahmaldives@anantara.com","Minor International (Labuan) Ltd
Level 15 (A2), Main Office Tower Financial Park
Labuan, Jalan Mereedeka, 87000 FT
Malaysia","Maldives Tourism Development Corporation Plc
01st Floor, Fathuruvehi
Buruzu Magu
Republic of Maldives","","Operating"
"10","Anantara Resort and Spa Maldives","Kaafu","Dhigufinolhu","113","226","7797779","3327058","shahdy@sandalawyers.com","6644100","6644100","dhigumaldives@anantara.com","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives","Operating"
"11","Anantara Veli and Naladhu","Kaafu","Veligan'du Huraa","88","176","7797779","","shahdy@sandalawyers.com","6644111","","velimaldives@anantara.com / stay@naladhu.com","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives","Operating"
"12","Angaga Island Resort and Spa","Alifu Dhaalu","Angaga","90","180","331 3523","331 3522","info@happymarket.com.mv","6680510","6680510","angaga@dhivehinet.net.mv","Angiri Resorts Management and Operations Pvt Ltd
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives","Angiri Resorts Management and Operations Pvt Ltd 
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives","","Operating"
"13","Angsana Resort & Spa Maldives - Velavaru","Dhaalu","Velavaru","119","238","3304087
6760028","3304660
6760029","velavaru@angsana.com","676 0028","676 0028","reservations-velavaru@angsana.com","Maldives Bay Pvt Ltd
M. Gulfaamuge, 4th Floor, 
Fareedhee Magu, 
Male', Republic of Maldives","Sancturay Sands Maldives Pvt. Ltd
H. Aage, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","-","Operating"
"14","Atmosphere Kanifushi Maldives","Lhaviyani","Kanifushi","190","380","3006554","3006557","info@kanifushi.com.mv","3339992","","sales@atmosphere-kanifushi.com","Kanifushi Investment Pvt. Ltd
M. Rowville, 5th Floor
Fareedhee Magu
Male, Rep of Maldives","Kanifushi Investment Pvt. Ltd.
M. Rowville, 5th Floor
Fareedhee Magu
Male, Rep of Maldives","Atmosphere Kani Resort Pvt. Ltd
Aage, 02nd Floor
12 Boduthakurufaanu Magu
Male', Rep of Maldives","Operating"
"15","Avani + Fares Maldives","Baa","Fares","210","420","7773152","","zayan@salihshihab.co","6601660","6601660","reservations.fares@avanihotels.com","Plexus Maldives Private Limited
H. The Cyprea, Boduthakurufaanu Magu, Male', Republic of Maldives","Plexus Maldives Private Limited
H. The Cyprea, Boduthakurufaanu Magu, Male', Republic of Maldives","Minor Hotel Group (Maldives) Private Limited 
Anantara Kihavah Villas,
Kihavah Huravalhi, Baa Atoll,
Republic of Maldives","Operating"
"16","Ayada Maldives","Gaafu Dhaalu","Magudhdhuvaa","100","200","7303055
745 8336
6844444","330 3003
3303009
6845555","info@ayadamaldives.com / 
aminath.hana@lily-international.com","684 4444","444 6 200","info@ayadamaldives.com","Ahmet Aydeniz Maldives Pvt. Ltd 
H. Aagadhage, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Maldives Tourism Development and Corporation 
G. Fathuruvehi, 1st Floor
Buruzu Magu 20124
Male', Republic of Maldives","","Operating"
"17","Baglioni Resort Maldives","Dhaalu","Maagau","101","206","9802222","","m.suri@baglionihotels.com","4000600","4000600","reservations.maldives@baglionihotels.com","Baglioni Maldives Pvt Ltd 
H. Hulhugali, 1st Floor, South Wing, 
Kalhuhuraa Magu, 
Male', Republic of Maldives","New Mood Resorts Pvt Ltd 
M. Faamudheyrige, 6th Floor Unit A, Orchid Magu, 
Male', Republic of Maldives","-","Operating"
"18","Bandos Maldives","Kaafu","Bandos","220","440","6640088","6643877","info@bandos.com.mv","6640088","6640088","sales@bandos.com.mv","Orchid Holdings Private Limited
H. Deens Villa, 
Meheli Goalhi, 
Male', Republic of Maldives","Mohamed Waheed Deen
H. Deens Villa
Meheli Goalhi
Male', Republic of Maldives","-","Operating"
