code,name,natural_atoll,island_count
AA,Alifu Alifu,Ari Atholhu Uthuruburi,34
ADh,Alifu Dhaalu,Ari Atholhu Dhekunuburi,47
B,Baa,Maalhosmadulu Dhekunuburi,80
Dh,Dhaalu,Nilandhe Atholhu Dhekunuburi,46
F,Faafu,Nilandhe Atholhu Uthuruburi,19
GA,Gaafu Alifu,Huvadhu Atholhu Uthuruburi,78
GDh,Gaafu Dhaalu,Huvadhu Atholhu Dhekunuburi,155
Gn,Gnaviyani,Fuvahmulah,1
HA,Haa Alifu,Thiladhunmathi Uthuruburi,42
HDh,Haa Dhaalu,Thiladhunmathi Dhekunuburi,34
K,Kaafu,Male' Atholhu,109
L,Laamu,Hadhdhunmathi,74
Lh,Lhaviyani,Faadhippolhu,54
M,Meemu,Mulaku Atholhu,38
Male,Male' Region,Male' Region,0
N,Noonu,Miladhunmadulu Dhekunuburi,66
R,Raa,Maalhosmadulu Uthuruburi,92
S,Seenu,Addu Atholhu,29
Sh,Shaviyani,Miladhunmadulu Uthuruburi,51
Th,Thaa,Kolhumadulu,62
V,Vaavu,Felidhe Atholhu,18
