entity_type,island_slug,field_name,source,raw_value,normalized_value,is_canonical,confidence_score,verification_status,date_scraped,date_published,date_verified,source_url,notes
island,aa-maalhos,area_ha,onemap,32.4532505961,32.4532505961,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,atoll,onemap,AA,AA,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,atoll,statsmap,AA,AA,false,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,dhivehi_name,onemap,މާޅޮސް,މާޅޮސް,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,fcode,onemap,LD0004,LD0004,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,fcode,statsmap,LD0004,LD0004,false,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,households,statsmap,87,87,true,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,island_code,statsmap,2808,2808,true,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,island_type,onemap,Residential Island,Residential Island,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,lat,onemap,"3° 59' 11.059"" N",3.986405,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,lat,statsmap,3.98634,3.98634,false,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,lng,onemap,"72° 43' 9.216"" E",72.719227,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,lng,statsmap,72.71943,72.71943,false,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,name,onemap,Maalhos,Maalhos,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,name,statsmap,Maalhos,Maalhos,false,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,population_2014,census-2022,434,434,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,population_female,statsmap,243,243,false,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,population_female,census-2022,243,243,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,population_foreign,census-2022,101,101,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,population_maldivian,statsmap,429,429,false,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,population_maldivian,census-2022,415,415,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,population_male,statsmap,273,273,false,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,population_male,census-2022,273,273,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,population_total,statsmap,516,516,false,1,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-maalhos,population_total,census-2022,516,516,true,0.97,unverified,2026-06-11T10:51:35.453Z,,,https://census.gov.mv/2022/wp-content/uploads/2023/03/Table-P5.xlsx,
island,aa-maalhos,status,onemap,inhabited,inhabited,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
island,aa-maalhos,status,statsmap,Inhabited,inhabited,false,0.85,unverified,2026-06-11T10:51:05.622Z,,,https://statisticsmaldives.gov.mv/gismaps/statsmap/,
island,aa-kandholhudhoo,area_ha,onemap,2.99145609018,2.99145609018,true,0.9,unverified,2026-06-11T06:23:40.511Z,,,https://services7.arcgis.com/yvCbn3q8PPtPLZIM/arcgis/rest/services/island_20240509/FeatureServer/0,
