slug,name,dhivehi_name,atoll_code,atoll_name,status,island_type,use_category,lat,lng,area_sq_km,overall_completeness,unresolved_conflicts,last_updated
hulhumale,Hulhumalé,ހުޅުމާލެ,,,inhabited,Residential Island,,4.222071,73.542463,4.1867060488,73,4,2026-06-11T10:52:06.135Z
male,Malé,މާލެ,,,inhabited,Residential Island,,4.174446,73.5097,2.08033728722,73,4,2026-06-11T10:52:06.139Z
vilingili,Vilin'gili,ވިލިނގިލި,,,inhabited,Residential Island,,4.173395,73.485279,0.329136945115,73,3,2026-06-11T10:52:06.001Z
ha-alidhoo,Alidhoo,އަލިދޫ,HA,Haa Alifu,resort,Tourism Island,,6.849024,73.152296,0.148431899956,76,3,2026-06-11T10:52:03.313Z
ha-alidhuffarufinolhu,Alidhuffarufinolhu,އަލިދުއްފަރުފިނޮޅު,HA,Haa Alifu,resort,Tourism Island,Resort,6.861344,73.104011,0.0244271344469,76,4,2026-06-11T10:52:03.165Z
ha-baarah,Baarah,ބާރަށް,HA,Haa Alifu,inhabited,Residential Island,,6.816661,73.208383,2.49955158635,80,4,2026-06-11T10:52:03.300Z
ha-beenaafushi,Beenaafushi,ބީނާފުށި,HA,Haa Alifu,uninhabited,Uninhabited Island,Varuva,6.928337,73.136439,0.0221398935056,76,4,2026-06-11T10:52:03.154Z
ha-berinmadhoo,Berinmadhoo,ބެރިންމަދޫ,HA,Haa Alifu,resort,Tourism Island,Resort,7.04726,72.971413,0.140029436578,76,4,2026-06-11T10:52:03.193Z
ha-dhapparuhuraa,Dhapparuhuraa,ދައްޕަރުހުރާ,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.915229,73.211325,0.000626897543008,76,2,2026-06-11T10:52:03.320Z
ha-dhidhdhoo,Dhidhdhoo,ދިއްދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.888109,73.110928,0.965428879916,76,5,2026-06-11T10:52:03.207Z
ha-dhigufaruhuraa,Dhigufaruhuraa,ދިގުފަރުހުރާ,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.925534,72.970093,0.00363655150721,76,2,2026-06-11T10:52:03.349Z
ha-dhonakulhi,Dhonakulhi,ދޮނަކުޅި,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.843857,73.051777,0.338330242006,76,2,2026-06-11T10:52:03.114Z
ha-filladhoo,Filladhoo,ފިއްލަދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.893126,73.229072,2.66042832469,80,4,2026-06-11T10:52:03.307Z
ha-gaamathikulhudhoo,Gaamathikulhudhoo,ގާމަތިކުޅުދޫ,HA,Haa Alifu,resort,Tourism Island,,7.038973,72.984471,0.117877887698,76,3,2026-06-11T10:52:03.160Z
ha-gallandhoo,Gallandhoo,ގައްލަންދޫ,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.946811,72.983254,0.110629631818,76,3,2026-06-11T10:52:03.147Z
ha-govvaafushi,Govvaafushi,ގޮއްވާފުށި,HA,Haa Alifu,uninhabited,Uninhabited Island,,7.012664,72.919303,0.0165618481955,76,2,2026-06-11T10:52:03.235Z
ha-hathifushi,Hathifushi,ހަތިފުށި,HA,Haa Alifu,uninhabited,Uninhabited Island,,7.020074,72.830747,0.0500832420484,76,1,2026-06-11T10:52:03.343Z
ha-hoarafushi,Hoarafushi,ހޯރަފުށި,HA,Haa Alifu,inhabited,Residential Island,,6.982665,72.894139,0.690223713743,80,5,2026-06-11T10:52:03.135Z
ha-huvahandhoo,Huvahandhoo,ހުވަހަންދޫ,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.959672,72.905308,0.453933695966,76,1,2026-06-11T10:52:03.325Z
ha-ihavandhoo,Ihavandhoo,އިހަވަންދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.952921,72.926223,0.625757017379,80,6,2026-06-11T10:52:03.271Z
ha-innafinolhu,Innafinolhu,އިންނަފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,7.073889,72.811079,0.141283017812,76,3,2026-06-11T10:52:03.141Z
ha-kandaalifinolhu,Kan'daalifinolhu,ކަނޑާލިފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,Varuva,6.925699,73.130521,0.0504738894684,76,3,2026-06-11T10:52:03.188Z
ha-kelaa,Kelaa,ކެލާ,HA,Haa Alifu,inhabited,Residential Island,,6.953291,73.215825,2.03365843965,80,6,2026-06-11T10:52:03.203Z
ha-kudafinolhu,Kudafinolhu,ކުޑަފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.989024,72.88456,0.0441563991007,56,2,2026-06-11T10:52:06.306Z
ha-maafahi,Maafahi,މާފަހި,HA,Haa Alifu,uninhabited,Uninhabited Island,Longterm Leased,6.828913,73.156813,1.00130197503,76,3,2026-06-11T10:52:03.218Z
ha-maafinolhu,Maafinolhu,މާފިނޮޅު,HA,Haa Alifu,resort,Tourism Island,Resort,7.00222,72.862445,0.153421666407,76,3,2026-06-11T10:52:03.289Z
ha-maarandhoo,Maarandhoo,މާރަންދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.852444,72.984325,0.445886243188,80,3,2026-06-11T10:52:03.222Z
ha-maarandhoofarufinolhu,Maarandhoofarufinolhu,މާރަންދޫފަރުފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.828936,72.971936,0.000668799179092,76,2,2026-06-11T10:52:03.242Z
ha-madulu,Madulu,މަޑުލު,HA,Haa Alifu,uninhabited,Uninhabited Island,,7.054854,72.95316,0.150817527694,76,2,2026-06-11T10:52:03.277Z
ha-manafaru,Manafaru,މަނަފަރު,HA,Haa Alifu,resort,Tourism Island,Resort,6.997056,72.939944,0.145765570739,76,3,2026-06-11T10:52:03.199Z
ha-matheerah,Matheerah,މަތީރަށް,HA,Haa Alifu,uninhabited,Uninhabited Island,Varuva,7.027566,72.819015,0.0501140754232,76,3,2026-06-11T10:52:03.105Z
ha-medhafushi,Medhafushi,މެދަފުށި,HA,Haa Alifu,resort,Tourism Island,Resort,7.010879,72.934779,0.117440791438,76,4,2026-06-11T10:52:03.256Z
ha-molhadhoo,Molhadhoo,މޮޅަދޫ,HA,Haa Alifu,inhabited,Residential Island,,7.013872,72.997378,1.19087737817,80,2,2026-06-11T10:52:03.264Z
ha-mulidhoo,Mulidhoo,މުލިދޫ,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.836089,73.011133,0.678817455962,76,1,2026-06-11T10:52:03.123Z
ha-muraidhoo,Muraidhoo,މުރައިދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.837921,73.167309,0.475036757485,80,3,2026-06-11T10:52:03.228Z
ha-naridhoo,Naridhoo,ނަރިދޫ,HA,Haa Alifu,resort,Tourism Island,,6.894997,73.126763,0.14212611273,76,2,2026-06-11T10:52:03.337Z
ha-thakandhoo,Thakandhoo,ތަކަންދޫ,HA,Haa Alifu,inhabited,Residential Island,,6.84423,72.995625,0.413432053541,80,2,2026-06-11T10:52:03.295Z
ha-thuraakunu,Thuraakunu,ތުރާކުނު,HA,Haa Alifu,inhabited,Residential Island,,7.104183,72.899143,0.262041540569,80,3,2026-06-11T10:52:03.282Z
ha-uligan,Uligan,އުލިގަން,HA,Haa Alifu,inhabited,Residential Island,,7.082924,72.926389,1.06727102378,80,2,2026-06-11T10:52:03.171Z
ha-umuraifinolhu,Umuraifinolhu,އުމުރަތްފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,7.009501,72.851293,0.00486371331851,76,3,2026-06-11T10:52:03.331Z
ha-ungulifinolhu,Un'gulifinolhu,އުނގުލިފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.970535,72.901096,0.0316984349976,76,2,2026-06-11T10:52:03.177Z
ha-utheemu,Utheemu,އުތީމު,HA,Haa Alifu,inhabited,Residential Island,,6.834655,73.112609,0.499834192448,80,3,2026-06-11T10:52:03.183Z
ha-vangaaru,Van'gaaru,ވަނގާރު,HA,Haa Alifu,resort,Tourism Island,,7.093233,72.878263,0.206083024734,76,2,2026-06-11T10:52:03.213Z
ha-vashafaru,Vashafaru,ވަށަފަރު,HA,Haa Alifu,inhabited,Residential Island,,6.897604,73.159751,0.356114090606,80,3,2026-06-11T10:52:03.129Z
ha-velifinolhu,Velifinolhu,ވެލިފިނޮޅު,HA,Haa Alifu,uninhabited,Uninhabited Island,,6.994074,72.874568,0.04209848112,76,1,2026-06-11T10:52:03.248Z
hdh-dhipparufushi,Dhipparufushi,ދިއްޕަރުފުށި,HDh,Haa Dhaalu,resort,Tourism Island,Resort,6.319047,72.640644,0.05033061165010001,76,4,2026-06-11T10:52:03.547Z
hdh-faridhoo,Faridhoo,ފަރިދޫ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.784959,73.054026,0.264661446106,76,1,2026-06-11T10:52:03.366Z
hdh-fenboahuraa,Fenboahuraa,ފެންބޯހުރާ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.396417,72.694733,0.072326636348,76,2,2026-06-11T10:52:03.533Z
hdh-finey,Finey,ފިނޭ,HDh,Haa Dhaalu,inhabited,Residential Island,,6.745941,73.053389,1.17528869166,80,3,2026-06-11T10:52:03.372Z
hdh-hanimaadhoo,Hanimaadhoo,ހަނިމާދޫ,HDh,Haa Dhaalu,inhabited,Residential Island,,6.753921,73.169658,3.04395855693,80,6,2026-06-11T10:52:03.583Z
hdh-hirimaradhoo,Hirimaradhoo,ހިރިމަރަދޫ,HDh,Haa Dhaalu,inhabited,Residential Island,,6.724829,73.024217,0.466023845495,80,3,2026-06-11T10:52:03.439Z
hdh-hirinaidhoo,Hirinaidhoo,ހިރިނައިދޫ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.701652,72.948262,0.06400554644869999,76,2,2026-06-11T10:52:03.422Z
hdh-hondaafushi,Hon'daafushi,ހޮނޑާފުށި,HDh,Haa Dhaalu,resort,Tourism Island,Resort,6.778724,73.122192,0.615454732111,76,4,2026-06-11T10:52:03.355Z
hdh-hondaidhoo,Hon'daidhoo,ހޮނޑައިދޫ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,Mixed Usage,6.769782,73.087572,0.180398012637,76,3,2026-06-11T10:52:03.360Z
hdh-innafushi,Innafushi,އިންނަފުށި,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.409006,72.645399,0.0228240300169,76,2,2026-06-11T10:52:03.540Z
hdh-kanamana,Kanamana,ކަނަމަނަ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.705265,72.899418,0.0279850636801,76,2,2026-06-11T10:52:03.404Z
hdh-kattalafushi,Kattalafushi,ކައްޓަލަފުށި,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.566484,72.98302,0.0331085654886,76,2,2026-06-11T10:52:03.493Z
hdh-keylakunu,Keylakunu,ކޭލަކުނު,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.602807,73.009116,0.907819591065,76,3,2026-06-11T10:52:03.481Z
hdh-kudafarufasgandu,Kudafarufasgandu,ކުޑަފަރުފަސްގަނޑު,HDh,Haa Dhaalu,resort,Tourism Island,Resort,6.711888,72.925039,0.000329999276993,56,4,2026-06-11T10:52:03.412Z
hdh-kudamuraidhoo,Kudamuraidhoo,ކުޑަމުރައިދޫ,HDh,Haa Dhaalu,resort,Tourism Island,,6.642771,72.919876,0.305930207896,76,3,2026-06-11T10:52:03.474Z
hdh-kulhudhuffushi,Kulhudhuffushi,ކުޅުދުއްފުށި,HDh,Haa Dhaalu,inhabited,Residential Island,,6.623226,73.068889,2.52112262452,80,5,2026-06-11T10:52:03.553Z
hdh-kumundhoo,Kumundhoo,ކުމުންދޫ,HDh,Haa Dhaalu,inhabited,Residential Island,,6.57165,73.052022,1.90453372716,80,5,2026-06-11T10:52:03.487Z
hdh-kunburudhoo,Kun'burudhoo,ކުނބުރުދޫ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.658276,73.027426,0.504442482464,76,2,2026-06-11T10:52:03.447Z
hdh-kuredhigandu,Kuredhigan'du,ކުރެދިގަނޑު,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.678518,73.105106,0.000397777194336,53,1,2026-06-11T10:52:03.573Z
hdh-kurinbi,Kurin'bi,ކުރިނބި,HDh,Haa Dhaalu,inhabited,Residential Island,,6.665551,72.996637,0.409927538944,80,2,2026-06-11T10:52:03.454Z
hdh-maavaidhoo,Maavaidhoo,މާވައިދޫ,HDh,Haa Dhaalu,uninhabited,Uninhabited Island,,6.515448,73.053957,0.41983409971,76,1,2026-06-11T10:52:03.520Z
hdh-makunudhoo,Makunudhoo,މަކުނުދޫ,HDh,Haa Dhaalu,inhabited,Residential Island,,6.409385,72.705088,0.8071640529459999,80,2,2026-06-11T10:52:03.527Z
hdh-muiri,Muiri,މުއިރި,HDh,Haa Dhaalu,resort,Tourism Island,,6.658082,72.936267,0.490255971612,76,2,2026-06-11T10:52:03.462Z
hdh-naagoashi,Naagoashi,ނާގޯށި,HDh,Haa Dhaalu,resort,Tourism Island,Resort,6.670088,72.903231,0.736666426347,76,4,2026-06-11T10:52:03.468Z
