conflict_id,island,island_slug,atoll,field_name,conflict_type,severity,status,canonical_value,source_values,confidence_score,reviewer_note,detected_at,reviewed_at
cmq9dodvs01xgn3cgpt8ycl3v,Bodufolhudhoo,aa-bodufolhudhoo,AA,name,missing-in-source,medium,unresolved,Bodufolhudhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xhn3cgtqujq5qv,Thoddoo,aa-thoddoo,AA,name,missing-in-source,medium,unresolved,Thoddoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xin3cgefkwkebq,Himandhoo,aa-himandhoo,AA,name,missing-in-source,medium,unresolved,Himandhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xjn3cg03ji5fpd,Ukulhas,aa-ukulhas,AA,name,missing-in-source,medium,unresolved,Ukulhas,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xkn3cgaol9jy46,Omadhoo,adh-omadhoo,ADh,name,missing-in-source,medium,unresolved,Omadhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xln3cgw3dh45xu,Mandhoo,adh-mandhoo,ADh,name,missing-in-source,medium,unresolved,Mandhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xmn3cg86tn8fcz,Dhan'gethi,adh-dhangethi,ADh,name,missing-in-source,medium,unresolved,Dhan'gethi,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xnn3cglpt10scx,Dhidhdhoo,adh-dhidhdhoo,ADh,name,missing-in-source,medium,unresolved,Dhidhdhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xon3cg71s0x931,Fenfushi,adh-fenfushi,ADh,name,missing-in-source,medium,unresolved,Fenfushi,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
cmq9dodvs01xpn3cgjazyl9e7,Kun'burudhoo,adh-kunburudhoo,ADh,name,missing-in-source,medium,unresolved,Kun'burudhoo,"[{""source"":""atolls-of-maldives"",""note"":""Island present in OneMap registry but not matched to any Atolls of Maldives page""}]",0.7,,2026-06-11T10:51:59.176Z,
