island_slug,island_name,atoll,source,census_year,total,male,female,resident_maldivian,households,fetched_at
aa-maalhos,Maalhos,AA,census-2022,2022,516,273,243,415,,2026-06-11T10:51:35.453Z
aa-maalhos,Maalhos,AA,statsmap,2022,516,273,243,429,87,2026-06-11T10:51:05.622Z
aa-kandholhudhoo,Kan'dholhudhoo,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-vihamaafaru,Vihamaafaru,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-maagau,Maagau,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-mathiveri,Mathiveri,AA,census-2022,2022,874,463,411,775,,2026-06-11T10:51:35.453Z
aa-mathiveri,Mathiveri,AA,statsmap,2022,878,466,412,788,90,2026-06-11T10:51:05.622Z
aa-ellaidhoo,Ellaidhoo,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-alikoirah,Alikoirah,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-rasdhoo,Rasdhoo,AA,census-2022,2022,1286,758,528,1080,,2026-06-11T10:51:35.453Z
aa-rasdhoo,Rasdhoo,AA,statsmap,2022,1282,755,527,1078,204,2026-06-11T10:51:05.622Z
aa-feridhoo,Feridhoo,AA,census-2022,2022,543,296,247,486,,2026-06-11T10:51:35.453Z
aa-feridhoo,Feridhoo,AA,statsmap,2022,544,297,247,492,52,2026-06-11T10:51:05.622Z
aa-maayafushi,Maayafushi,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-gangehi,Gangehi,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-halaveli,Halaveli,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-etheremadivaru,Etheremadivaru,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-velidhoo,Velidhoo,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-bodufolhudhoo,Bodufolhudhoo,AA,census-2022,2022,697,355,342,633,,2026-06-11T10:51:35.453Z
aa-bodufolhudhoo,Bodufolhudhoo,AA,statsmap,2022,704,361,343,653,51,2026-06-11T10:51:05.622Z
aa-thoddoo,Thoddoo,AA,census-2022,2022,1923,1136,787,1532,,2026-06-11T10:51:35.453Z
aa-thoddoo,Thoddoo,AA,statsmap,2022,1924,1133,791,1529,395,2026-06-11T10:51:05.622Z
aa-madivaru,Madivaru,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-madivarufinolhu,Madivarufinolhu,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-velifinolhu,Velifinolhu,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-madoogali,Madoogali,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-mushimasmigili,Mushimasmigili,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-fushi,Fushi,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-himandhoo,Himandhoo,AA,census-2022,2022,884,501,383,742,,2026-06-11T10:51:35.453Z
aa-himandhoo,Himandhoo,AA,statsmap,2022,885,501,384,754,131,2026-06-11T10:51:05.622Z
aa-kudafolhudhoo,Kudafolhudhoo,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-ukulhas,Ukulhas,AA,census-2022,2022,1274,735,539,1018,,2026-06-11T10:51:35.453Z
aa-ukulhas,Ukulhas,AA,statsmap,2022,1284,740,544,1053,231,2026-06-11T10:51:05.622Z
aa-gaagandu,Gaagan'du,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-gaathafushi,Gaathafushi,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-fesdhoo,Fesdhoo,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-bathalaa,Bathalaa,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-fusfinolhu,Fusfinolhu,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-kuramathi,Kuramathi,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-dhinnolhufinolhu,Dhinnolhufinolhu,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-mathivereefinolhu,Mathivereefinolhu,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
aa-veligandu,Veligan'du,AA,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-omadhoo,Omadhoo,ADh,census-2022,2022,913,427,486,849,,2026-06-11T10:51:35.453Z
adh-omadhoo,Omadhoo,ADh,statsmap,2022,913,427,486,858,55,2026-06-11T10:51:05.622Z
adh-ariyadhoo,Ariyadhoo,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-dhiffushi,Dhiffushi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-innafushi,Innafushi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-dhiggiri,Dhiggiri,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-bodukaashihuraa,Bodukaashihuraa,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-hurasdhoo,Hurasdhoo,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-mandhoo,Mandhoo,ADh,census-2022,2022,418,264,154,286,,2026-06-11T10:51:35.453Z
adh-mandhoo,Mandhoo,ADh,statsmap,2022,418,264,154,286,132,2026-06-11T10:51:05.622Z
adh-rangaleefinolhu,Rangaleefinolhu,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-theluveligaa,Theluveligaa,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-rangali,Rangali,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-bodufinolhu,Bodufinolhu,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-vilamendhoo,Vilamendhoo,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-dhangethi,Dhan'gethi,ADh,census-2022,2022,936,579,357,713,,2026-06-11T10:51:35.453Z
adh-dhangethi,Dhan'gethi,ADh,statsmap,2022,936,575,361,718,218,2026-06-11T10:51:05.622Z
adh-angaagau,Angaagau,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-huruelhi,Huruelhi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-huvahendhoo,Huvahendhoo,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-heenfaru,Heenfaru,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-dhidhdhoo,Dhidhdhoo,ADh,census-2022,2022,140,76,64,111,,2026-06-11T10:51:35.453Z
adh-dhidhdhoo,Dhidhdhoo,ADh,statsmap,2022,141,75,66,110,31,2026-06-11T10:51:05.622Z
adh-mirihi,Mirihi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-fenfushi,Fenfushi,ADh,census-2022,2022,994,578,416,804,,2026-06-11T10:51:35.453Z
adh-fenfushi,Fenfushi,ADh,statsmap,2022,1000,584,416,811,189,2026-06-11T10:51:05.622Z
adh-tholhifushi,Tholhifushi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-kudarah,Kudarah,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
adh-vakarufalhi,Vakarufalhi,ADh,statsmap,2022,0,0,0,0,0,2026-06-11T10:51:05.622Z
